Folder,Keyword,Potential Matches
データ戦略推進ワーキンググループの開催について,データ戦略推進ワーキンググループの開催,データ戦略推進ワーキンググループ
本人確認ガイドラインの改定について,本人確認ガイドラインの改定,本人確認ガイドラインの改定に向けた有識者会議
法制事務のデジタル化について,法制事務のデジタル化,デジタル臨時行政調査会作業部会法制事務のデジタル化検討チーム | 法制事務のデジタル化検討チーム | デジタル臨時行政調査会作業部会 法制事務のデジタル化検討チーム
地方公共団体の基幹業務システムの統一・標準化に関する共通機能等技術要件検討会 申請管理ワーキングチーム,地方公共団体の基幹業務システムの統一・標準化に関する共通機能等技術要件検討会 申請管理ワーキングチーム,地方公共団体の基幹業務システムの統一・標準化に関する共通機能等技術要件検討会
作業部会,作業部会,第9回作業部会 | 第7回デジタル臨時行政調査会作業部会 | デジタル臨時調査会作業部会
少額物品調達業務の利用促進に向けた取組について,少額物品調達業務の利用促進に向けた取組,少額物品調達業務の利用促進に向けた取組
モビリティ・ロードマップ2024(案)の概要,モビリティ・ロードマップ2024,モビリティ・ロードマップ2024
中間とりまとめ,中間とりまとめ,中間とりまとめ骨子に対する意見公募の実施結果
モビリティ・ロードマップ2024(案),モビリティ・ロードマップ2024,モビリティ・ロードマップ2024
地方公共団体の基幹業務システムの統一・標準化に関する共通機能等技術要件検討会 データ連携ワーキングチーム,地方公共団体の基幹業務システムの統一・標準化に関する共通機能等技術要件検討会 データ連携ワーキングチーム,地方公共団体の基幹業務システムの統一・標準化に関する共通機能等技術要件検討会
情報システムの整備及び管理の基本的な方針の策定について,情報システムの整備及び管理の基本的な方針の策定,情報システムの整備及び管理の基本的な方針
地方公共団体情報システム標準化基本方針の改定案について,地方公共団体情報システム標準化基本方針の改定案,地方公共団体情報システム標準化基本方針
モビリティ・ロードマップ2024の概要,モビリティ・ロードマップ2024,モビリティ・ロードマップ2024
こどもに関する情報・データ連携 副大臣プロジェクトチームの開催について,こどもに関する情報・データ連携 副大臣プロジェクトチームの開催,こどもに関する情報・データ連携 副大臣プロジェクトチーム | こどもに関する情報・データ連携
モビリティ・ロードマップ2025の概要,モビリティ・ロードマップ2025,モビリティ・ロードマップ2025
モビリティワーキンググループの開催について,モビリティワーキンググループの開催,モビリティワーキンググループ
こどもに関する各種データの連携による支援実証事業について,こどもに関する各種データの連携による支援実証事業,こどもに関する各種データの連携による支援実証事業
デジタルマーケットプレイスについて,デジタルマーケットプレイス,デジタルマーケットプレイスオープン・タスクフォース提言案 | デジタルマーケットプレイスに関する会議
法制事務のデジタル化に向けた今後の検討方針(案),法制事務のデジタル化に向けた今後の検討方針,法制事務のデジタル化
デジタル社会の実現に向けた重点計画(案),デジタル社会の実現に向けた重点計画,デジタル社会の実現に向けた重点計画(概要) | デジタル社会の実現に向けた重点計画
教育データ利活用ロードマップの検討状況について,教育データ利活用ロードマップの検討状況,教育データ利活用ロードマップ
マイナンバー法に関する検討事項について,マイナンバー法に関する検討事項,マイナンバー法に関する検討事項
地方公共団体情報システム標準化基本方針改定案の概要について,地方公共団体情報システム標準化基本方針改定案,地方公共団体情報システム標準化基本方針
地方公共団体情報システム標準化基本方針(案),地方公共団体情報システム標準化基本方針,地方公共団体情報システム標準化基本方針(改定案) | 地方公共団体情報システム標準化基本方針
地方公共団体情報システム標準化基本方針の概要,地方公共団体情報システム標準化基本方針,地方公共団体情報システム標準化基本方針(改定案) | 地方公共団体情報システム標準化基本方針
法制事務のデジタル化に向けた工程表(案)について,法制事務のデジタル化に向けた工程表,法制事務のデジタル化
法制事務のデジタル化に向けた取組について,法制事務のデジタル化に向けた取組,法制事務のデジタル化
有識者会議,有識者会議,地方公共団体情報システムにおける文字の標準化に関する有識者会議 | 教育データの利活用に関する有識者会議 | 本人確認実務の課題・事例・手法とそのガイドラインに関する有識者会議
地方公共団体の基幹業務システムの統一・標準化に関する共通機能等技術要件検討会 宛名管理ワーキングチーム,地方公共団体の基幹業務システムの統一・標準化に関する共通機能等技術要件検討会 宛名管理ワーキングチーム,地方公共団体の基幹業務システムの統一・標準化に関する共通機能等技術要件検討会
こどもに関する情報・データ連携に関連する厚生労働省の取組みについて,こどもに関する情報・データ連携に関連する厚生労働省の取組み,こどもに関する情報・データ連携
